type,plaintext,ciphertext
Hill,dxbswxolzqevydoaanklplyvkjwfakzpsgrejtqjodmqvndlgivrjzkrvwcjgfqdwjwoatpghloqeuzustxeqwubnrt,ajpqpbrdfkrzjhwqnnhratphprjbmawxichmsbrjxdskulwjwselubjrxyvtvfpjtbmopnhggvkqimpkvpjeewhvknof
Vigenere,hnpxesovptjdtuxsyeerskafrskfezioklinzyhvz,ofbyyyukwlvenadhfwqsmqguykwgyfodrduotenkg
Caesar,rlststxepkrbhgvzeaoeluqjafzedzjgnlbmknhyqrfsircxwbbtlmhvoecketenpicmixyefhshnqimyzf,mgnonoszkfmwcbquzvjzgplevauzyuebigwhfictlmandmxsrwwoghcqjzxfzozikdxhdstzacncildhtua
Hill,ajgbggomexvsoimtxvoqxcgdtxwasvtdosdnicedslchnuksqsdfbhfhcjwvnwkymkotqwkkyusxubhonrytrkvr,jvvdagystfxouahlybckfaxzeleodzkzegkjuuztttffhmiucmczgpcbhbzljioiyqfrgeakwgfvhthgefvvtswd
Vigenere,rragyhzorjmtqspkofepppztnsvmgkwgkiblrsbifwabrubpupabkqzqyqrmncidtfxjjixqccxhegdytc,aimkprpaaayxhcfwxwqtgzpfwjhqxumstznpicruonmfierbdgmfbapchhdqemypcwjnasncltjlvqtkct
Hill,icrmtdtyjyzeovfshnxtwgvuihccfpkkbqzvhrqxfjtdevwbfknfpkrxqjryh,wwzlgxpxjpnhhghrmdqvscnjnwimcroidtyhkdpssrgxbybclrenrzaljstlud
Columnar,xsoscmtzxoqydpixvyhshcultoapecaakdydvon,cqvueyxxtdhtavsoxcpdxszpsoaomyylcdxoxihakn
Caesar,jykrzewyoawunfywiyhkekbmagcabwfwlgtgeqenmwevriubmxtejxduqltwlbdzdnyboulsbdweggllumuy,gvhowbtvlxtrkcvtfvehbhyjxdzxytctidqdbnbkjtbsofryjuqbguarniqtiyawakvylripyatbddiirjrv
Hill,uputkouxwgdgtfjnvvaiuduwxllkwrlecvotrdphnqangqhioxhhhiufojzyscdebzzphzmtwdintstxrykihghyed,bqpauidkesydrvjdxbculmgodhuhxamfrmjyvlhdebnakqwfxizjwffenmszmyelrntjxphgnevuevpbkfmgcnatvy
Hill,odmdzffieahbghvfuecchrrsvrczuvvemunoiylnpojbuyzxgbegdqktlkyghtqvovso,vxlbajhwuskdldgracmeapzmsnjfrffacebemcqrlauzuesdffaqfgrrnswccxxnnrau
Caesar,vbrvcuglijmqwqniicxgwvubkteivfilcmgadmjnduvlyfzlynebazpxnccdpjtjxzsyzoqjbdncblqsziytbmrwaezaraw,wcswdvhmjknrxrojjdyhxwvclufjwgjmdnhbenkoevwmzgamzofcbaqyoddeqkukyatzaprkceodcmrtajzucnsxbfabsbx
Columnar,ogfpeuqqycfnqjbjbtgcfvhlvhsujrbkbufowutxmducazhkfodnnzhywnkgjxjgu,efbhjfmhnkuuntlrodkzgxfybfsbtadwjpcjvuuxznnggqjchkucoyxoqqgvbwufhj
Hill,pjpaumcpaezrszpizvkudirooncdmgjeedmlzgtgkjovadrww,kvzxwcnyccwxxsdbyzsijtfbtshskyrvtctuxlnhtwxwvijfhy
Columnar,rguobjmvpnxgrlzfqieaugzcjvnsuogxfybpxh,umxzezngbxrbprqujufxovgfacsxpxgjnligvoyh
Caesar,iiqsxvnaayihduptjlnorpgrjkbjarlqjcdpieoagtvszlpnywpfprbgbuuzviljfd,cckmrphuuscbxojndfhiljaldevdulfkdwxjcyiuanpmtfjhsqjzjlvavootpcfdzx
Vigenere,ggnndgmklupqdemcbvqhzhzaedfkcfyveousnmspldxugjyjvkiqmyxtiaghccsllj,gcvycorkhcapljmyjgppehvipcnpcbggdwzsjudotixqouxrakeyxxfyiwosbkxlhr
Columnar,kiswslogrpjpmxnpfdzgnqzqptspdbrpmktaffurabmnk,wrxzqdkunsgmdzpmfmspngpbtrkkljpntraaiopfqspfb
Hill,avmqzhccgkyhdnpaaugtoxvjoahpkpbwodwjtpmpirjgjaivpdextxynuee,hxkmuramkcdjmlvqymnxdbwheiuntlhqfpnpqfbbdrzixunjwxpzkpfxmwpz
Caesar,rmbgmvwssevjmeyqhvjhdjqlnvoxxmhksbbtfgoojttwrc,lgvagpqmmypdgyskbpdbxdkfhpirrgbemvvnzaiidnnqlw
Hill,owflxgiqdmnspcmqiljwnlysxiapgrpbxxtucldpemipyveegdsgmbezkisoiphbjlxxjkqei,eoxsnxoidddnbpymyvljrayyjxwnutdcfkbtwpxqmeqvslcewtusczmrwkesqvjuhwfkjjgqav
Vigenere,itnrmffxnlzaayongshhnllmtfchpwlxuntlkpqiyffpsswlyzildojyrlxtttuimdhbeuohebdksharzfbndnjh,nbyeqkniapeillssodulstwzxkkscaqffaxqsadmdnqcwxewldntobndzwkxybfvqipmrytppohpasnvenmahsrs
Columnar,nmttbyfthsqktewqvfwlhitleujwdzdejtgimiuiewlbpsicrdnfmqewuzl,mtelueibdwthwhjjupnubqvtdgeimlykflziwcqxtsqiwtisfznftwedmlre
Vigenere,leutiyfvebamozjpuljolnjzkrtgrqvle,tycbninpmjfwwtrxzvritvojslbowadfm
Hill,shktfjjxtoysupwobkcerjpyefikxgojvryxafxazjezfxujulkkdonzopqibmlpdyilaquffjgudknlniylzhf,utmdbsxqphsiclyoztuuluzxkjuszdcnziqzyrrtjeczlyubonaotndukxyqtfbqpvelesgdbskefptopjafpsly
Vigenere,zjodnkbgblrufsfuocloxxxethysaagzbkhhtgxjptqvxvosfgmgkwfarcdvqrykph,uwhjhfozhfmhyyzpbvriskqkncllgubmuqbcgzddkgjbrqbllahtdczvevjplerqjc
Caesar,lheygnusurinokjnjoasftpzlwgonbkseoajitxcsbteipldyatiqekkqydrp,rnkemtayaxotuqptpugylzvfrcmuthqykugpozdiyhzkovrjegzowkqqwejxv
Columnar,etcpihmizmssmbdgibimveursvjszuetjlirhogdgiaxnekrudvrsjcudkqewcqt,hmmjlgrccxeidezraddtisivjdkjwxpsbstgesextzguuhxvkxmbvsiiuuqxcmireonrqx
Vigenere,cpojwxcbkqjincjcaxaqlmsqpaxmidllbzimrgapzg,jotgdwhyrpofubozhwfnslxnwzcjpcqiiynjyffmgf
Hill,bkuytxhjxualxhuocnbexwojbciciwloqhvrrsfklfrmvektnpxwdgcimtzoadfdutcbtpxmeifnosjytkylwghdldhluypct,xroglilwtrkdtemiqzbnjbczldcggcftcbfqhxdplaltfdyzdkjbhjcaolnzypzgahyrzuhdsmbewsrflvurqgpsvqbgogtjli
Columnar,skbfjceykualvsobyctrhbgescltmtbisjzldftx,clcetlxjaygmzxfubbtjxsevtsbdbkohlstkysrcif
Caesar,mncmjvychomqbafihphfgbbryvmicvrfzshlagqdmiyzmgvqozhmd,klakhtwafmkozydgfnfdezzpwtkgatpdxqfjyeobkgwxketomxfkb
Columnar,ieqaqfsvigejobimefkjeaeztxeojocpizpnujyzygngziwanrzueqdaacvamox,eimeougzcaeftpyieafojezyadoqgezcjzuviviajnnraqjkxizwqmsbeopgnax
Hill,gkuvnfyrragbrhzxpiewrwcuhqaoyuamfurekiwxvtpemweowuhwpccd,emjnazdlhsrtubinxkuyhyksjoasqaaizmhmyuttobxqiiukgejsxgxl
Vigenere,mboiganiijudeqotjmkdybhogihwmjqkgpywihypjodwkdoszeeuyzrcnqgvwtvwmvawtknuhmxfhdpkpkufvvxbcsjh,cedkgqqxkjkgtsojmbmdoewqgyklojgnvrymlwapzrsyktrhbeuxnbrsqfivmwkymldlvkdxwoxvksrkfnjhvlaqeszk
Caesar,izqppsplyfcexrtbadpdhqabhvudeayvpicvsroxanatjfggzncvsjhbrluioasitgmipveeteryjcppewthnco,nevuuxuqdkhjcwygfiuimvfgmazijfdaunhaxwtcfsfyoklleshaxomgwqzntfxnylrnuajjyjwdohuujbymsht
Hill,epkmjyheulupdoceucwbuizlvtqkhmtratwcizrijrdbzkqpcmajatcj,zoeuozidvovywtgiiybaiaxjlhwwixfrncowlwmdbbjtknjcgcnqncto
Vigenere,ybcbittwrrksfnfppmxvecvumotmwubmepkynyuxikrgtwgvyceez,tgrgroylwafxusokubcezhkzvjybbdwrtuttsnzgdpglcrlkdlzjo
Hill,rhewrjqmnqblgmxvhbyymdnslmqtkx,xcgitiumujxmmofwbmskbrqpqnthbp
Hill,euvjsmmeujeukiopzmbsnlroiigxbkivgkxnvhqrwxvgyuhtphbpzhjvixhztjqdcvipjpbwodnekcjph,gixsokgkebgigqmlrzvphgbnuiohxnuvouvoryengtbbwkvkhazyponmapnslkodkxcnvehdcvzboivehy
Columnar,atfsgmkttqllxpguzncrlrfmhibxvukjbcayepntfnwejdmiznesvxmdnxpjxfwsrtvu,atgrvywnnsslnhjndvjvmxrbcfimfxglcibtmxxufqzmkpjsptkplxanzdwxttufueeexr
Hill,fypqoxcgfhctahxcudiwpcsppxvgehwqjbvsecocdfn,bxjjipychcypwbttuxierhiffktlkhoarwbjykumdilu
Columnar,uwywksxvorrpxamthspkggqisplfrmqbmjvwxpsxvmmzpphphyhkkpifxgdtpnufltiyqtdhutspbplqcfrjlzzxunnzuc,wotqmxzhglhlzuuvmgrwmyxfdplzyrhiqppkdtuqzcsxkljvpinqprnxxagfvmhfutbjnxkpppmxhppysfuxwrssbspktitcxx
Vigenere,jeyzpqudjmlklejwywjzkpnngbuulplikpobideweqmugcjmaokolucdpyeehvoaaxcfkd,xdhwdpdaxluhzdstmvswyowkuadrzoufyoxywcntspvrubsjontlztladxnbvuxxowlcyc
Hill,xksotrxrntzlzrnfsjdlxbrbkflgixbkkvoinvzpmnbccsgaoxqbgsdurdowzvskjydowezfitzyljfasfxr,pqwwabolofulidqpthivupmnzbhavldatxuuklmxdrtckuicdnpryedwitskapekdkpeecgtdzhyojlgbvol
Vigenere,lhryqcmhlcquablpkyvuhtanaovieiornfhsukf,jcizoxdijxhvywcqitmvforoyjmjcdfslaytsfw
Caesar,stqgdnqpjrofkbdngwcqditemwuordbymomiuufuqiskeklheheylvangvfmdavwefbztmlvphpcoliq,turheorqkspglceohxdrejufnxvpsecznpnjvvgvrjtlflmififzmwbohwgnebwxfgcaunmwqiqdpmjr
Caesar,erhxsuckbkghkebanpitpfoqwjulggqhsonwafyfp,pcsidfnvmvrsvpmlyateaqzbhufwrrbsdzyhlqjqa
Hill,tkhkhougdecndnlzxjdpxxnoohhbqidiynqlbonkmpypcsvzliwzzufveuzclywxjph,ovknuzaoybfxbczapmtilcwdhnhmiainvdjjsvmrjbnjymlycbhdcdnkicwbqxpxvmxa
Hill,icvqthrbcqabwjqhwzqlrkrtlxxmwotvdiyjwhhoxqkclpvhltwvcpriviistfubzhhpkdhdqwrbyai,mcroejgbwyfzfpnbhzhxzssjeprgekwvfazdvrxwlcgqqxyxktndrzpudwomulxjmzcvlpuhkmgbgmnh
Columnar,knczyqhtpjkzuxsgefpwcnsghasyozhzedhxgrctfcsyipmfswpbxfwgwsukfvltkkebcoqssybygyirv,zkfhzcpxkeyvquwsdffwvcyxcjeghribuksrnpgszgypsksiyzpaetmffbbxktsnoxswwtqyhxcyhcsglogx
Caesar,trwyhgqguplpnntbxjejpgqlebbuaccnfahhpkcwfoyjffhtbsoinntprkzbyk,xvaclkukytptrrxfbnintkupiffyeggrjelltogajscnjjlxfwsmrrxtvodfco
Hill,wjrugscuzorlwgurksoiipgqwarcryfgpjadwlhtmtekiui,lqybasqqmlxpcmbuqocozmuykewdkpmdjxjerkhbbwusokxo
Columnar,impjpubqscqxjmpuagfcsxwmfyxolxsfqurdlydidsumsgdtokxdhmzrtfrnjiznenoamdhmvnugasdjpnmngfzmx,iqpxlduktnhsgjqgffdghnonpmbmsorsorzdanxpcamsysdrnvjzpxfyqidmjaunxujcxudtzimgmxmsuwxlmxfemdf
Caesar,kewxremzmezxzlflczgpkeajalzhmvwzydgxgtajngwbultagrgpdrcsxirhskjwyneaktxoopocwzzbdzp,eyqrlygtgytrtfzfwtajeyuduftbgpqtsxaranudhaqvofnualajxlwmrclbmedqshyuenriijiwqttvxtj
Hill,drveqswmsezseiohwwfaevhrzvlmogpdyyrcuenanwishdnmiieckvleteohfjplojozydaprkrmyovganvyqjfaopmuumvhsul,lmyveaukyaelwkdbcuajjxlojoulkafeokmryoancjewfauzwmmejnydyhdbpsbmpdhtfpzpizubgakxnnopprajzjqauwdyqqvw
Vigenere,hygszzfjykttlvgxkkqinsvqedowntuzumswajmspirpedifjdsdegytxfksguvzkkejtdfbosgnrxukioc,cwrqhxahjibrgtrvsilgyqdozbzuvrpxfkauvhxqxgmnpbqdebdbmetridsqbsgxsizhebnzjqrlzvpitmk
Vigenere,gwpnmsufzeuyimtayqqjrmhnisgouadacxptdlpdjzesgravqcjxyxxehuwkgeafhkmzekfgcqgcrwgiootvbayal,lmwvkdnaeubggxmvdgxrpxaininwslwvhnwbbwiyoplaectqvsqfwiqzmkdseptamathcvybhgnkphzdteadzlrvq
Caesar,eihjyhcmshsvipftdzsrjmgskdmvakumxfscuzjkxhlxn,ptsujsnxdsdgtaqeokdcuxrdvoxglvfxiqdnfkuviswiy
Vigenere,tqxfvwzxpnlnffhopfigfpxlbtocitcuzpqzktzzdagtnbdepdljhrluz,ejsyxtagaggghcixaydzhmyummjvkqddkilsmqaiotbmpyenawgcjomdk
Columnar,qrnremkjqhbaljziardwzbugnjqrctksyvcwjblobeqpdnufwvqsrbsepvksanbeor,qmbizjkwbnqearehzwntcodvssoxrqjdgcvlpwbkexnjlrurybqfrvbxrkaabqsjeuspnx
Hill,jpvukcdfysnznfapuiqqiyrmddlibkubndvftxhdhpzdk,szxpcwgrigkncntaqsaewclbarrtbxvswnepmvofyfmdnw
Columnar,twrvluxqicgclikslwasjlkjviviqzcvnqhti,xkkcxrgavhvcsitlljqitilvnwcwiquilzxqsjvx
Vigenere,hlwmvyrrtamejfpohuoezbwxmcrjknfpulgewofbkmmlsbehtvlzcvqeysvyeukknuqgcavgjajjsompstbgmr,sfzveueueupnsbcrsornixjaxwustjssffjnfksevgpubxrkepoilrdhjmyhnqxnyotplwijuumsbkzsdnepvn
Caesar,ladcxdxmyahpbivgxztehsvtdqidmflictgghkidmipnajvlgisusfrsaqepffiyziebqspkfelyvpwmpkqbxcfemdfj,xmpojpjykmtbnuhsjlfqtehfpcupyrxuofsstwupyubzmvhxsuegerdemcqbrrukluqncebwrqxkhbiybwcnjorqyprv
Caesar,usnrwmqaykgxgrqrnljrztjfpjfsjltsxryxxbenmcziwutwwtljvzgsfyfxksuay,dbwafvzjhtpgpazawusaicsoysobsucbgahggknwvlirfdcffcuseipbohogtbdjh
Columnar,ycbhlyhburwhzffushbsbbzbxwiuraijjyqvayctfjjkghejkjnudejatkauxlznduyytmrb,lzbragdxtyusxjfktdbubjtjanbhhsuvkuuycrhwyjjkubwbiqjnayhfzicejzryfbayhelm
Hill,agyebainwtcvgfutdldlprnfufijlskejhdafmvqmumkgikvqddhmxumzpf,yeuolqxltfphvrxzmzmzmnuzthhrlgwykxhwzkjaegqiugzftlwfdviqkhen
Vigenere,urhzlxlwosdbbiuxnvrsnwwnjoclkzet,zbuvdcvjkkiloemcxinksgjjbtmygrjd
Hill,mohrosajplfebulrpukitfksoujerjucizsogfiphpmqldngmfwjhoxbmuovmfbulavpphxqtfjulcrwhrfskdhimgzuosssyp,sgoteghsqbvbhxadxtqcgzswukhlgpycdskitmbyypiksbjzlovidnmbospmlohxhvolktpfgzfrxztpotddpshbgqbfegqqxm
Caesar,aacisyuuygmrlldcyuviilyabjimmolunxgvavjoisayecpmuyenefsgqsvjzbtmmrxnglbyssuhvcfiheaqlfsmvkkx,iikqagccgouzttlkgcdqqtgijrquuwtcvfodidrwqaigmkxucgmvmnaoyadrhjbuuzfvotjgaacpdknqpmiytnaudssf
Caesar,kkykxklbraebuythhfijyvanaxurzwbplopls,zznzmzaqgptqjniwwuxynkpcpmjgolqeadeah
Caesar,zsiycvlhooxsbglkvzgvznxbmkwbvjvdxslwqngpryqiuxkaooyosppkmaqjtznq,qjzptmcyffojsxcbmqxmqeosdbnsmamuojcnhexgiphzlobrffpfjggbdrhakqeh
Hill,rrdeiaqwsllfligwntbwcvjwhgwyympfvlnatsiaaoxdnkzlbrzvmqe,nqdxcwsasvverlwsfolbsjnxxrggqqjcjannxncwqyfcrtxyjybemosr
Vigenere,kretfxzdhyoriwihrhbedfmazdprxjqxpgsciyz,kuyffatphbidizctrkvqdigmzgjdxmkjpjmoibt
Caesar,jtfnuswonfuersttqjxtocvurvhicztchumzghplhqfpuzxzvmzvbpyyq,isemtrvnmetdqrsspiwsnbutqughbysbgtlyfgokgpeotywyulyuaoxxp
Caesar,tsygqsjmoihubrbfrunmywzztgbfrvhmhwguntvgapjicwfflrsnkwmrexlcxatdadwgcdcjhse,lkqyikbegazmtjtxjmfeqorrlytxjnzezoymflnyshbauoxxdjkfcoejwpdupslvsvoyuvubzkw
Vigenere,fttedlbppvbpyrdprpvqvwsusnaqpjbxrgvsasvtlrthlgceluyiglmqqtovgijmnngxzxzztxkdfyrlhxksxqgcjdivky,aeywngmuhfwadjnkcunaqhxmcilvhtwiwyfnlxndgcyzvbnjdettldwlbygfbtoexircrhukypuyqdjvcipkhlrhbndgpq
Columnar,ikjldytrozjgyznemxqibokjeyrhvwlasnwgnuc,ityqelnygxjwgxjonbrscdjmkvwxkrziyaulzeohnx
Caesar,jkrkslnpxywizdimtnmljwanmhlsbyvnvxxxlfthsdatywkvqcoehrgpdfmuqhshxzayibhxsvmvztdvzufhwtmzoomfpetynqzi,efmfngikstrduydhoihgervihcgnwtqiqsssgaocnyvotrfqlxjzcmbkyahplcncsuvtdwcsnqhquoyqupacrohujjhakzotilud
Columnar,xgphjitnphmdrgajzphehbmukchdkxkjglxdveskvqwxvwqishpyhmavogyhagwwlldvmrzhvinqpn,xpzkgvsolvhdeddxyhvqjrhkvvhampghpclqhglipmhhxwpydnnjujkivwhxigbxewmgrntamksqawzx
Columnar,wbsxyeegczecnvlofngqbazxohhkhxaatakweltqnfeubknvbfzeektflefjfyilwwixjrizdqjupvchcjhr,bezvnahxalfkfkeywrqvjxgcoqxkawquvefjlxzuhrwycnfbohtenbbelfwjdpcseelgzhaktenztfiiijch
Caesar,pylfhxdtaicjqpxwvgspysyezzahdhxefhowbycsftwebtgcfxbjzfgzonrndrifwelo,oxkegwcszhbipowvufroxrxdyyzgcgwdegnvaxbresvdasfbewaiyefynmqmcqhevdkn
Caesar,lagyqouodrkoowzcpbmyhnvdnbikcarkp,hwcumkqkzngkksvylxiudjrzjxegywngl
Caesar,jonvdgorwhgvrtyrmmuefkxelxikxtydugdxufpuksebzfmhgnznnnovbmokff,hmltbempufetprwpkkscdivcjvgivrwbsebvsdnsiqczxdkfelxlllmtzkmidd
Columnar,rtawtgizoepeehqhzrxxhcegegquxvdcuxslquuvwbwefdumhiqxvoccoa,wexulexxiqeduucxtergxbiaapxqswqxzhgcvmcxrozeuwhotehxqfvxghcvudox
Hill,yrsatqiniigoemupmxglrwubopdgfigoziejolxxhhqevdiubndzwvuenfcnmujgnxjqyflnmeqqtspz,srkqjbqxikyowsmzopobzfazalnhpdyodpmfelxghmcunkwkpyhukvkmvaejeczvdapverjeucquhbfw
Columnar,sftclhjtjvfkdmssxoopumxqhzsppqs,cvsmpxtjsusxftmpzxlfxxpxhkoqqxsjdohs
Hill,lvlrgqgbhedojggmfozzmihfvzneihyyvtqwxosgtkwdtxkirhsiqjrfogdsriqdstzgswvtjowipmprtyorkb,qjmlssdgplptjxouhtqhmwqrghrlbqgoaxkcntmkzvtsmvuwedowxccrcktrfjrszkxxccaxrtywrhwlnbnyng
Columnar,mgxspttrznkyqrrodvcvbbdfswkroisn,szrcfoxpnrvsixmtkobwsgtydbknxrqvdrx
Columnar,yswxrftguifnwspvulrzzesuqyfpwfymfcjbqafrtsjqhqnvkfgxergbqolpygmwtiileoijrnwfhmosyegcvxtbq,silycsfoinexyuuqftkqtryqgvumrvbwjsbxtpsyfngmiotxrwzwqheyehvxxnzpbqxplfcxwfrfjjgliwgxfsefaqrgomxx
Hill,zqevhhrezaybmjxufbpxythbcwpmmjwxegijqlnrwsvadtlsxfjmxvcuiowjuwqihdaelxmaknd,zlsdluxrtpohydtblgvayjzcgkztydszokwlebvmikrxhmjtpijfvecegaqjcaysdiimtigcstpy
Vigenere,vzfqzmtmnexbwgoadmrjwiysehaxhmvatmcvllnklurpzzwxjxsmfratcmczggushkdcokcghqjkbadyyfab,mkvwtykdyudvixfltslvnzjikbmoyxlgnytmwbtexliapfqjaodcllmktxsfasljsajwabtrxwdwsrooezms
Vigenere,ntjztlaqxiizhrvfdtgclchmhnhhmnzvtlnjwqvxjbco,tfkwgrmruvolioilpudproijuttijafhuiapirskpndl
Hill,qaytqhxwpnmaoenyerclkzlndxkmiuvusll,qwrcxogdptmkseytvanmjulhnfwucqcddivd
Vigenere,yeygvpaoasbgegwpyuclbavyabzlgtfzrjyppkcsvgetrlfyzhxmhctqcgpjfcupnumjrpbqcyfhdvzmlbtk,nlpxnspvrjtjtnngqxrssrnbpiqcywugiaqsertjnjtaicxbooodzfixtxhmujlgfxbqigttrfwyvyotcsln
Columnar,okovjyttjouiliuffxyzxsgnhrcxodvlepignmvomgwfqtsml,otuuygcvivwsxvtifznxlgofmxojjlfxhoenmqlkyoixsrdpmgtx
Hill,dnrauwudricqxxexeldjhwghoqbxalfaxrupnnbzjcpmswvyvxakhcybeptvvnebnhmahubwmckjioxsejqhzgzczp,jfzyisivzugerdmtmzjhvssnqydbabpertipnndnbotgcglklraivcuhmxftljmrndkuvgdikgexycrmmnwvxexgxt
Hill,mfvnmijoaecuvlyqxxqkpjwyipisgjwsiphabbiscuvhvczpbkzclzlefriqywikimnkliwwhjdipojexngzkrqfdl,jlyxygtcuccgojwmclummheuvlkglzaevlvmifkgcguhvyudbqhqcxbgwfasacwcgqlsviugoxxylqvketnhlvvdmt
Vigenere,aqskaywmjqznnqafqbvevisrmiirakkvqostxndwtszcauwuqcakevhphe,uawluiandadohaegklzfpswsgsmsuuowkywurxhxncddueavkmelyflqbo
Caesar,ezksadnyiqtcwmqwcmeemwxpgzswrrwzzyg,faltbeozjrudxnrxdnffnxyqhatxssxaazh
Hill,flfdwrlnfjurimumizzpdmibtaceskqodtvqfaezhnzjmvqizdvxcmvccbnwhdpomiuloulkgecrbihepvemrur,jurqttfclglvuyqmhlhcadfzyheakayetaqnuvrppgnmbfeotwjkweethfelzoufosrfkwihuwrnwdyvncecwtto
